"","team_name","name","game_date","season","period","minutes_remaining","seconds_remaining","shot_made_flag","action_type","shot_type","shot_distance","opponent","x","y","minute"
"3814","Golden State Warriors","Graymond Green","1/4/17",2016,2,6,1,"shot_no","Layup Shot","2PT Field Goal",1,"Portland Trail Blazers",-12,2,18
"3815","Golden State Warriors","Graymond Green","3/24/17",2016,4,5,48,"shot_no","Layup Shot","2PT Field Goal",1,"Sacramento Kings",1,13,43
"3816","Golden State Warriors","Graymond Green","3/16/17",2016,2,10,27,"shot_no","Layup Shot","2PT Field Goal",2,"Orlando Magic",6,21,14
"3817","Golden State Warriors","Graymond Green","1/8/17",2016,2,3,36,"shot_yes","Layup Shot","2PT Field Goal",2,"Sacramento Kings",20,7,21
"3818","Golden State Warriors","Graymond Green","12/15/16",2016,1,5,12,"shot_no","Layup Shot","2PT Field Goal",2,"New York Knicks",-20,11,7
"3819","Golden State Warriors","Graymond Green","1/8/17",2016,2,0,27,"shot_no","Layup Shot","2PT Field Goal",3,"Sacramento Kings",9,36,24
"3820","Golden State Warriors","Graymond Green","3/28/17",2016,1,9,44,"shot_yes","Layup Shot","2PT Field Goal",0,"Houston Rockets",2,-5,3
"3821","Golden State Warriors","Graymond Green","1/8/17",2016,1,5,12,"shot_no","Layup Shot","2PT Field Goal",2,"Sacramento Kings",-27,13,7
"3822","Golden State Warriors","Graymond Green","1/28/17",2016,1,8,11,"shot_no","Layup Shot","2PT Field Goal",2,"Los Angeles Clippers",10,18,4
"3823","Golden State Warriors","Graymond Green","1/18/17",2016,3,9,29,"shot_yes","Layup Shot","2PT Field Goal",3,"Oklahoma City Thunder",-7,31,27
"3824","Golden State Warriors","Graymond Green","1/18/17",2016,3,10,35,"shot_yes","Layup Shot","2PT Field Goal",0,"Oklahoma City Thunder",-4,3,26
"3825","Golden State Warriors","Graymond Green","12/17/16",2016,3,10,41,"shot_yes","Layup Shot","2PT Field Goal",1,"Portland Trail Blazers",-14,7,26
"3826","Golden State Warriors","Graymond Green","3/18/17",2016,2,1,53,"shot_no","Layup Shot","2PT Field Goal",2,"Milwaukee Bucks",6,21,23
"3827","Golden State Warriors","Graymond Green","1/25/17",2016,1,4,3,"shot_no","Layup Shot","2PT Field Goal",0,"Charlotte Hornets",0,7,8
"3828","Golden State Warriors","Graymond Green","11/16/16",2016,3,8,32,"shot_no","Layup Shot","2PT Field Goal",2,"Toronto Raptors",-22,8,28
"3829","Golden State Warriors","Graymond Green","12/25/16",2016,2,6,16,"shot_yes","Layup Shot","2PT Field Goal",1,"Cleveland Cavaliers",-7,-16,18
"3830","Golden State Warriors","Graymond Green","3/16/17",2016,3,6,33,"shot_no","Layup Shot","2PT Field Goal",3,"Orlando Magic",1,31,30
